time,contract,open,high,low,close,volume,delta
2004-07-01,200407,5794,5795,5720,5765,26725,0
2004-07-02,200407,5620,5658,5561,5655,25931,0
2004-07-05,200407,5582,5610,5542,5597,24339,0
2004-07-06,200407,5622,5676,5568,5667,27542,0
2004-07-07,200407,5550,5688,5520,5650,37028,0
2004-07-08,200407,5639,5804,5596,5634,26283,0
2004-07-09,200407,5641,5724,5586,5707,38772,0
2004-07-12,200407,5733,5761,5693,5707,22358,0
2004-07-13,200407,5686,5698,5654,5661,19661,0
2004-07-14,200407,5643,5682,5597,5608,32520,0
2004-07-15,200407,5602,5620,5482,5550,33895,0
2004-07-16,200407,5501,5582,5496,5505,28871,0
2004-07-19,200407,5491,5545,5422,5511,27613,0
2004-07-20,200407,5460,5488,5281,5300,25758,0
2004-07-21,200407,5357,5430,5353,5415,12535,-85
2004-07-22,200408,5249,5308,5207,5291,34720,0
2004-07-23,200408,5291,5339,5273,5285,29972,0
2004-07-26,200408,5230,5279,5225,5275,19390,0
2004-07-27,200408,5270,5394,5219,5353,44806,0
2004-07-28,200408,5398,5400,5340,5360,27778,0
2004-07-29,200408,5355,5355,5281,5297,29294,0
2004-07-30,200408,5337,5407,5336,5356,33673,0
2004-08-02,200408,5323,5323,5255,5280,25760,0
2004-08-03,200408,5305,5319,5265,5282,23697,0
2004-08-04,200408,5250,5266,5212,5254,25644,0
2004-08-05,200408,5259,5410,5214,5399,51427,0
2004-08-06,200408,5335,5408,5332,5369,30009,0
2004-08-09,200408,5300,5390,5271,5380,27565,0
2004-08-10,200408,5385,5390,5342,5364,23213,0
2004-08-11,200408,5400,5409,5292,5325,33885,0
2004-08-12,200408,5310,5348,5303,5348,19967,0
2004-08-13,200408,5300,5396,5293,5356,34742,0
2004-08-16,200408,5339,5350,5314,5331,14680,0
2004-08-17,200408,5362,5375,5316,5339,18196,0
2004-08-18,200408,5328,5423,5295,5413,16720,-42
2004-08-19,200409,5427,5548,5421,5528,40525,0
2004-08-20,200409,5542,5625,5526,5583,36137,0
2004-08-23,200409,5613,5628,5576,5606,23079,0
2004-08-26,200409,5722,5813,5700,5783,35392,0
2004-08-27,200409,5800,5818,5758,5810,23284,0
2004-08-30,200409,5810,5819,5777,5785,18023,0
2004-08-31,200409,5766,5875,5734,5763,52609,0
2004-09-01,200409,5800,5867,5785,5856,34567,0
2004-09-02,200409,5850,5860,5794,5840,26755,0
2004-09-03,200409,5850,5870,5746,5762,45361,0
2004-09-06,200409,5753,5788,5715,5780,28759,0
2004-09-07,200409,5771,5842,5763,5840,33963,0
2004-09-08,200409,5850,5879,5810,5828,31458,0
2004-09-09,200409,5812,5854,5785,5843,23185,0
2004-09-10,200409,5845,5875,5815,5841,28530,0
2004-09-13,200409,5900,5939,5892,5930,24950,0
